id;label;count;avg_rating;norm_avg_rating;avg_weight;norm_avg_weight;weighted_avg_rating;norm_weighted_avg_rating;weighted_avg_weight;norm_weighted_avg_weight
34;Transportation;275;6.659697345454545;0.39177985684444155;2.6689712727272714;1.1248829372224056;7.188230446834694;0.24754235968856844;2.738238168537473;0.6062624966860557
35;Maze;131;6.195514198473279;-0.7265612556331495;1.729680152671756;-0.7471642494810095;6.825283629500965;-0.7376243459003335;2.1192238433066013;-0.4986732595258173
36;Puzzle;363;6.295094187327829;-0.48664648009607336;1.6550327823691455;-0.8959396361380777;7.106840979933245;0.026622409030315562;2.008675576245141;-0.6960010564518565
37;Territory Building;350;6.746719600000005;0.601439698205733;2.547767714285713;0.8833190857664782;7.400866178875342;0.8247113376778481;2.731540941446188;0.594307998415161
38;Exploration;587;6.55964250425894;0.15072103525827515;2.22002640545145;0.23011670572756704;7.14191407057634;0.121823247041544;2.5421706218261595;0.256283450703119
39;Fighting;1218;6.626330385878487;0.31138994408056825;2.2096225779967162;0.2093814347325309;7.221653044485306;0.33826317289630914;2.623784890368051;0.4019642853031586
40;City Building;390;6.7935457948717985;0.7142565016734547;2.4187628205128204;0.6262068409022417;7.3517100679678835;0.6912841755442429;2.6426932269498686;0.4357155190439079
41;Book;66;7.328187272727273;2.0023505417306344;2.526319696969697;0.8405722742407385;7.4020240330572245;0.8278541655948891;2.7036128393665164;0.5444565534111137
42;Napoleonic;233;7.1423029184549325;1.5545055113777806;2.7263227467811157;1.2391868663912957;6.99119016376175;-0.28729502494342174;2.5357693335380844;0.2448572008943178
43;Prehistoric;113;6.246114336283187;-0.6046520161920731;2.0106486725663713;-0.18718202885717417;7.156325398406673;0.16094071462555043;2.568142281615407;0.3026426614348037
44;Modern Warfare;186;6.848737150537636;0.8472272105324098;2.7218564516129033;1.2302853499965225;7.7630909451114345;1.8079181398672644;3.1607994209764447;1.360531045859538
45;Murder/Mystery;211;6.326826729857818;-0.4101943142957446;1.7311511848341232;-0.7442324197614364;7.023118500712096;-0.20063016655073382;2.1677616824214647;-0.4120335942042285
46;Novel-based;330;6.154712272727274;-0.8248639866279419;1.9267400000000015;-0.3544155851678168;7.214886671017703;0.3198968295658108;2.854236016791361;0.8133177536569777
