game_id;name;url
80719;Monopoly: Franklin Mint Collector's Edition;/boardgame/80719/monopoly-franklin-mint-collectors-edition
2100;Myth Fortunes;/boardgame/2100/myth-fortunes
1687;Red Empire;/boardgame/1687/red-empire
5108;The Disneyland Game;/boardgame/5108/disneyland-game
3457;Tabula;/boardgame/3457/tabula
7462;Jumpin' Monkeys;/boardgame/7462/jumpin-monkeys
6006;Iron Cross;/boardgame/6006/iron-cross
1267;Polar Dare!;/boardgame/1267/polar-dare
1402;Neolithibum;/boardgame/1402/neolithibum
3612;Pro Football Fantasm;/boardgame/3612/pro-football-fantasm
11756;Objective: Schmidt;/boardgame/11756/objective-schmidt
940;Karawane;/boardgame/940/karawane
3182;Paternoster;/boardgame/3182/paternoster
1866;Brainstorm;/boardgame/1866/brainstorm
12030;WWF Wrestling Challenge;/boardgame/12030/wwf-wrestling-challenge
6194;Home Alone;/boardgame/6194/home-alone
7033;Kadesh:  Mobile Warfare in the Ancient Middle East;/boardgame/7033/kadesh-mobile-warfare-ancient-middle-east
2784;Plague!;/boardgame/2784/plague
1082;Invers;/boardgame/1082/invers
2845;Star Fist;/boardgame/2845/star-fist
9540;Advanced Dungeons & Dragons Trivia Game;/boardgame/9540/advanced-dungeons-dragons-trivia-game
3016;Stand & Die: The Battle of Borodino, 1941;/boardgame/3016/stand-die-battle-borodino-1941
9233;Royalists & Roundheads;/boardgame/9233/royalists-roundheads
2836;Magestones;/boardgame/2836/magestones
740;Rio Grande:  The Battle of Valverde;/boardgame/740/rio-grande-battle-valverde
2092;Elfengold;/boardgame/2092/elfengold
2337;Droids;/boardgame/2337/droids
1703;Kula Kula;/boardgame/1703/kula-kula
1653;Coup;/boardgame/1653/coup
11370;The Civil War;/boardgame/11370/civil-war
790;Terra Turrium;/boardgame/790/terra-turrium
10688;Advanced Dungeons & Dragons Battlesystem Skirmishes;/boardgame/10688/advanced-dungeons-dragons-battlesystem-skirmishes
5998;The Italian Campaign: Sicily;/boardgame/5998/italian-campaign-sicily
9541;The Addams Family Family Reunion Game;/boardgame/9541/addams-family-family-reunion-game
31767;Outburst II;/boardgame/31767/outburst-ii
2260;Blood and Iron;/boardgame/2260/blood-and-iron
2310;Cash;/boardgame/2310/cash
4680;Baton Rouge: Street Fighting in the Louisiana Capital, August 5, 1862;/boardgame/4680/baton-rouge-street-fighting-louisiana-capital-augu
1998;Tutankhamen's Revenge;/boardgame/1998/tutankhamens-revenge
6042;Samurai Sunset;/boardgame/6042/samurai-sunset
6681;Back Off! Buzzard;/boardgame/6681/back-buzzard
1450;Jagd der Vampire;/boardgame/1450/jagd-der-vampire
1160;Boom Town;/boardgame/1160/boom-town
15090;Scrabble Dice;/boardgame/15090/scrabble-dice
2391;Risky Strategy;/boardgame/2391/risky-strategy
9474;Flying Pirates;/boardgame/9474/flying-pirates
7129;Force Eagle's War;/boardgame/7129/force-eagles-war
7995;Quits;/boardgame/7995/quits
10463;Quick Chess;/boardgame/10463/quick-chess
2373;Vendetta;/boardgame/2373/vendetta
12157;Unanimo;/boardgame/12157/unanimo
14151;Quickword: The Ultimate Word Game;/boardgame/14151/quickword-ultimate-word-game
2295;Astérix et les Romains;/boardgame/2295/asterix-et-les-romains
2492;Doctor Faust;/boardgame/2492/doctor-faust
2864;Automania: The Game of the Motor Giants;/boardgame/2864/automania-game-motor-giants
1651;Vertigo;/boardgame/1651/vertigo
11129;Krim: von Manstein's Battles for Sevastopol, 1941-1942;/boardgame/11129/krim-von-mansteins-battles-sevastopol-1941-1942
1682;The Challenge;/boardgame/1682/challenge
7980;Mississippi Banzai;/boardgame/7980/mississippi-banzai
4461;Chauvinist Pigs;/boardgame/4461/chauvinist-pigs
281;Ostindiska Kompaniet;/boardgame/281/ostindiska-kompaniet
781;Tabloid Teasers;/boardgame/781/tabloid-teasers
1400;Columbus;/boardgame/1400/columbus
6020;Borodino: Doomed Victory;/boardgame/6020/borodino-doomed-victory
3569;Robin Hood;/boardgame/3569/robin-hood
12629;Marching Through Georgia;/boardgame/12629/marching-through-georgia
7808;Solar Trader;/boardgame/7808/solar-trader
8447;Objective: Tunis;/boardgame/8447/objective-tunis
10346;Inchon: MacArthur's Gambit;/boardgame/10346/inchon-macarthurs-gambit
7334;Knockout;/boardgame/7334/knockout
1947;Robin Hood;/boardgame/1947/robin-hood
8405;Hamburger Hill;/boardgame/8405/hamburger-hill
7641;Three of a Crime;/boardgame/7641/three-crime
12385;Bladestorm;/boardgame/12385/bladestorm
22629;Giggle Wiggle;/boardgame/22629/giggle-wiggle
430;Asterix: Das Kartenspiel;/boardgame/430/asterix-das-kartenspiel
17615;1792: La Patrie en Danger;/boardgame/17615/1792-la-patrie-en-danger
561;Flußpiraten;/boardgame/561/flusspiraten
4570;Wordsters;/boardgame/4570/wordsters
5040;Operation Crusader;/boardgame/5040/operation-crusader
9573;The Dick Tracy Game;/boardgame/9573/dick-tracy-game
12539;Amnesia;/boardgame/12539/amnesia
7815;Secrets of the Deep;/boardgame/7815/secrets-deep
4022;Diceball!;/boardgame/4022/diceball
5961;Battle for Basra;/boardgame/5961/battle-basra
5933;Red Sky Morning;/boardgame/5933/red-sky-morning
4948;Play It By Ear;/boardgame/4948/play-it-ear
8981;Anagram: The Ingenious Game of Juggling Words;/boardgame/8981/anagram-ingenious-game-juggling-words
538;Manager;/boardgame/538/manager
8888;August Fury;/boardgame/8888/august-fury
5723;Shattered States;/boardgame/5723/shattered-states
4872;How to Host a Murder: The Wall Street Scandal;/boardgame/4872/how-host-murder-wall-street-scandal
5005;Real People;/boardgame/5005/real-people
11399;Black Gold (Texas Tea);/boardgame/11399/black-gold-texas-tea
91313;Ataxx;/boardgame/91313/ataxx
4894;Three For All!;/boardgame/4894/three-all
5934;Wahoo!;/boardgame/5934/wahoo
10075;Claim to Fame;/boardgame/10075/claim-fame
7526;Welfen und Staufer;/boardgame/7526/welfen-und-staufer
17938;Alpha Animals;/boardgame/17938/alpha-animals
5661;Trivial Pursuit: 1960's Edition;/boardgame/5661/trivial-pursuit-1960s-edition
347;Fishy;/boardgame/347/fishy
12081;Knightmare;/boardgame/12081/knightmare
2958;Let's Buy Hollywood;/boardgame/2958/lets-buy-hollywood
12562;Sunrise of Victory;/boardgame/12562/sunrise-victory
3062;Pyramis;/boardgame/3062/pyramis
23552;Totally Dingbats;/boardgame/23552/totally-dingbats
8638;Monopoly Junior: Travel Edition;/boardgame/8638/monopoly-junior-travel-edition
4580;Who is going to do the dishes?;/boardgame/4580/who-going-do-dishes
2840;Heuchel und Meuchel;/boardgame/2840/heuchel-und-meuchel
8966;Raid on Richmond;/boardgame/8966/raid-richmond
1750;Knots;/boardgame/1750/knots
9022;Im Reich des weißen Bären;/boardgame/9022/im-reich-des-weissen-baren
25481;Travel Sorry!;/boardgame/25481/travel-sorry
12378;Geografacts;/boardgame/12378/geografacts
18330;Dragon Noir 1: L'Exil;/boardgame/18330/dragon-noir-1-lexil
18117;Schoko-Hexe;/boardgame/18117/schoko-hexe
10855;Le Paresseux;/boardgame/10855/le-paresseux
17896;Firefight;/boardgame/17896/firefight
64897;Formule Dé;/boardgame/64897/formule-de
9406;The Simpsons: Don't Have A Cow Dice Game;/boardgame/9406/simpsons-dont-have-cow-dice-game
17522;Armageddon: Das strategische Fantasyspiel;/boardgame/17522/armageddon-das-strategische-fantasyspiel
7921;Round-Up;/boardgame/7921/round
3330;Peloton;/boardgame/3330/peloton
10793;Civil War Classics, Volume 1: The Battles of Pea Ridge & Shiloh;/boardgame/10793/civil-war-classics-volume-1-battles-pea-ridge-shil
8254;Balance;/boardgame/8254/balance
26620;Tannenberg 1914;/boardgame/26620/tannenberg-1914
6574;Mad Dash!;/boardgame/6574/mad-dash
10878;Visual Game;/boardgame/10878/visual-game
3186;The Famous Monarchs of England Card Game;/boardgame/3186/famous-monarchs-england-card-game
2178;Römer;/boardgame/2178/romer
1865;Astrotime;/boardgame/1865/astrotime
6412;Humm...ble;/boardgame/6412/hummble
9705;More Dirty Minds;/boardgame/9705/more-dirty-minds
2333;Hacker;/boardgame/2333/hacker
173270;Ogre / G.E.V.;/boardgame/173270/ogre-gev
22061;TEG: La Revancha;/boardgame/22061/teg-la-revancha
6851;The Simpsons Mystery of Life;/boardgame/6851/simpsons-mystery-life
3447;The Game of Maze;/boardgame/3447/game-maze
8406;Operation Solace;/boardgame/8406/operation-solace
7912;Sand Castles;/boardgame/7912/sand-castles
5530;Burger Battle;/boardgame/5530/burger-battle
11915;Tabaijana: Flucht von der Feuerinsel;/boardgame/11915/tabaijana-flucht-von-der-feuerinsel
11351;Demyansk Pocket;/boardgame/11351/demyansk-pocket
2694;Donnerwetter;/boardgame/2694/donnerwetter
16673;Over the Top, Command Decision Series Game;/boardgame/16673/over-top-command-decision-series-game
1853;Hagbards plundringsresa;/boardgame/1853/hagbards-plundringsresa
154432;Risk & Castle Risk;/boardgame/154432/risk-castle-risk
23212;Cockpit;/boardgame/23212/cockpit
3198;Hecht im Karpfenteich;/boardgame/3198/hecht-im-karpfenteich
12280;Geistesblitz;/boardgame/12280/geistesblitz
10800;Lemming;/boardgame/10800/lemming
7231;Sahara;/boardgame/7231/sahara
1732;Bei Nacht und Nebel;/boardgame/1732/bei-nacht-und-nebel
26293;Kreta 1941;/boardgame/26293/kreta-1941
33906;Komandosi;/boardgame/33906/komandosi
3104;Chamäleon;/boardgame/3104/chamaleon
30865;Step by Step;/boardgame/30865/step-step
3501;Fantasy;/boardgame/3501/fantasy
10637;Husky;/boardgame/10637/husky
22990;Les Aigles;/boardgame/22990/les-aigles
3195;Hydra;/boardgame/3195/hydra
20153;Klumpeduns;/boardgame/20153/klumpeduns
48863;The BattleTech Compendium;/boardgame/48863/battletech-compendium
21275;Outburst: Travel Edition;/boardgame/21275/outburst-travel-edition
1852;Insikt;/boardgame/1852/insikt
129417;Scotland Yard;/boardgame/129417/scotland-yard
16057;Minister i klister;/boardgame/16057/minister-i-klister
33625;Indicios;/boardgame/33625/indicios
65179;Titularing;/boardgame/65179/titularing
9157;Werner: Volle Socke;/boardgame/9157/werner-volle-socke
28127;Gammelgäddan;/boardgame/28127/gammelgaddan
463;Magic: The Gathering;/boardgame/463/magic-gathering
118;Modern Art;/boardgame/118/modern-art
1234;Once Upon a Time: The Storytelling Card Game;/boardgame/1234/once-upon-time-storytelling-card-game
327;Loopin' Louie;/boardgame/327/loopin-louie
700;Battle Masters;/boardgame/700/battle-masters
770;Loot;/boardgame/770/loot
